Column1;Daerah;Negara;Emisi;Tipe;Segmen;Alasan;Tahun
0;Africa;Algeria;2,57611E+15;Agriculture;Total;All;2019-2021
1;Africa;Algeria;5,2E+14;Energy;Bioenergy;All;2022
2;Africa;Algeria;1,30799E+15;Energy;Gas pipelines and LNG facilities;Fugitive;2022
3;Africa;Algeria;6,97419E+15;Energy;Gas pipelines and LNG facilities;Vented;2022
4;Africa;Algeria;2,13987E+16;Energy;Onshore gas;Fugitive;2022
5;Africa;Algeria;4,64308E+15;Energy;Onshore gas;Vented;2022
6;Africa;Algeria;4,69787E+15;Energy;Onshore oil;Flared;2022
7;Africa;Algeria;8,51872E+15;Energy;Onshore oil;Fugitive;2022
8;Africa;Algeria;1,15412E+16;Energy;Onshore oil;Vented;2022
9;Africa;Algeria;4E+13;Energy;Other from coal;All;2022
10;Africa;Algeria;1,42086E+16;Energy;Other from oil and gas;All;2022
11;Africa;Algeria;670;Energy;Satellite-detected large oil and gas emissions;All;2022
12;Africa;Algeria;2,66919E+15;Energy;Total;All;2022
13;Africa;Algeria;6,47572E+15;Other;Total;All;2019-2021
14;Africa;Algeria;5,10966E+15;Waste;Total;All;2019-2021
15;Africa;Angola;4,0097E+15;Agriculture;Total;All;2019-2021
16;Africa;Angola;5,734E+15;Energy;Bioenergy;All;2022
17;Africa;Angola;2,59168E+14;Energy;Gas pipelines and LNG facilities;Fugitive;2022
18;Africa;Angola;1,38188E+16;Energy;Gas pipelines and LNG facilities;Vented;2022
19;Africa;Angola;4,76435E+15;Energy;Offshore oil;Flared;2022
20;Africa;Angola;2,94211E+15;Energy;Offshore oil;Fugitive;2022
21;Africa;Angola;3,98601E+16;Energy;Offshore oil;Vented;2022
22;Africa;Angola;3,96236E+14;Energy;Onshore gas;Fugitive;2022
23;Africa;Angola;8,5975E+14;Energy;Onshore gas;Vented;2022
24;Africa;Angola;9,55903E+15;Energy;Onshore oil;Flared;2022
25;Africa;Angola;1,13159E+16;Energy;Onshore oil;Fugitive;2022
26;Africa;Angola;1,53309E+16;Energy;Onshore oil;Vented;2022
27;Africa;Angola;1,77595E+15;Energy;Other from oil and gas;All;2022
28;Africa;Angola;5,68733E+15;Energy;Total;All;2022
29;Africa;Angola;8,17099E+15;Other;Total;All;2019-2021
30;Africa;Angola;1,51494E+16;Waste;Total;All;2019-2021
31;Africa;Benin;1,05691E+16;Agriculture;Total;All;2019-2021
32;Africa;Benin;2,4612E+15;Energy;Bioenergy;All;2022
33;Africa;Benin;9,8756E+14;Energy;Gas pipelines and LNG facilities;Fugitive;2022
34;Africa;Benin;5,26568E+14;Energy;Gas pipelines and LNG facilities;Vented;2022
35;Africa;Benin;2,8E+14;Energy;Other from coal;All;2022
36;Africa;Benin;1,83713E+15;Energy;Other from oil and gas;All;2022
37;Africa;Benin;2,66285E+14;Energy;Total;All;2022
38;Africa;Benin;4,32477E+15;Other;Total;All;2019-2021
39;Africa;Benin;4,21074E+15;Waste;Total;All;2019-2021
40;Africa;Botswana;9,72585E+15;Agriculture;Total;All;2019-2021
41;Africa;Botswana;5,408E+16;Energy;Bioenergy;All;2022
42;Africa;Botswana;1,44059E+14;Energy;Onshore gas;Fugitive;2022
43;Africa;Botswana;3,12579E+13;Energy;Onshore gas;Vented;2022
44;Africa;Botswana;8,4E+14;Energy;Other from coal;All;2022
45;Africa;Botswana;6,61559E+15;Energy;Other from oil and gas;All;2022
46;Africa;Botswana;6,19922E+15;Energy;Total;All;2022
47;Africa;Botswana;2,23691E+15;Other;Total;All;2019-2021
48;Africa;Botswana;8,43402E+15;Waste;Total;All;2019-2021
49;Africa;Cameroon;2,79531E+15;Agriculture;Total;All;2019-2021
50;Africa;Cameroon;7,434E+15;Energy;Bioenergy;All;2022
51;Africa;Cameroon;1,91275E+15;Energy;Gas pipelines and LNG facilities;Fugitive;2022
52;Africa;Cameroon;1,01988E+16;Energy;Gas pipelines and LNG facilities;Vented;2022
53;Africa;Cameroon;4,40211E+16;Energy;Offshore gas;Fugitive;2022
54;Africa;Cameroon;9,55166E+14;Energy;Offshore gas;Vented;2022
55;Africa;Cameroon;4,99537E+15;Energy;Offshore oil;Flared;2022
56;Africa;Cameroon;5,08397E+15;Energy;Offshore oil;Fugitive;2022
57;Africa;Cameroon;6,88781E+15;Energy;Offshore oil;Vented;2022
58;Africa;Cameroon;1,20642E+15;Energy;Onshore gas;Fugitive;2022
59;Africa;Cameroon;2,61769E+15;Energy;Onshore gas;Vented;2022
60;Africa;Cameroon;1,03619E+16;Energy;Other from oil and gas;All;2022
61;Africa;Cameroon;2,16561E+14;Energy;Total;All;2022
62;Africa;Cameroon;2,39428E+15;Other;Total;All;2019-2021
63;Africa;Cameroon;1,94514E+16;Waste;Total;All;2019-2021
64;Africa;Central African Republic;2,50817E+15;Agriculture;Total;All;2019-2021
65;Africa;Central African Republic;1,73469E+16;Other;Total;All;2019-2021
66;Africa;Central African Republic;2,28563E+15;Waste;Total;All;2019-2021
67;Africa;Chad;1,22393E+16;Agriculture;Total;All;2019-2021
68;Africa;Chad;8,43398E+15;Energy;Onshore oil;Flared;2022
69;Africa;Chad;2,95427E+16;Energy;Onshore oil;Fugitive;2022
70;Africa;Chad;4,00247E+15;Energy;Onshore oil;Vented;2022
71;Africa;Chad;4E+13;Energy;Other from oil and gas;All;2022
72;Africa;Chad;5,1417E+15;Energy;Total;All;2022
73;Africa;Chad;13205078125;Other;Total;All;2019-2021
74;Africa;Chad;7,01976E+15;Waste;Total;All;2019-2021
75;Africa;Congo;2,3871E+14;Agriculture;Total;All;2019-2021
76;Africa;Congo;1,5684E+16;Energy;Bioenergy;All;2022
77;Africa;Congo;2,01877E+16;Energy;Gas pipelines and LNG facilities;Fugitive;2022
78;Africa;Congo;1,07641E+16;Energy;Gas pipelines and LNG facilities;Vented;2022
79;Africa;Congo;3,7598E+15;Energy;Offshore gas;Fugitive;2022
80;Africa;Congo;8,15799E+15;Energy;Offshore gas;Vented;2022
81;Africa;Congo;4,93979E+15;Energy;Offshore oil;Flared;2022
82;Africa;Congo;1,20454E+15;Energy;Offshore oil;Fugitive;2022
83;Africa;Congo;1,63192E+16;Energy;Offshore oil;Vented;2022
84;Africa;Congo;6,06069E+14;Energy;Onshore gas;Fugitive;2022
85;Africa;Congo;1,31504E+16;Energy;Onshore gas;Vented;2022
86;Africa;Congo;3,49745E+15;Energy;Onshore oil;Flared;2022
87;Africa;Congo;9,91861E+15;Energy;Onshore oil;Fugitive;2022
88;Africa;Congo;1,34378E+16;Energy;Onshore oil;Vented;2022
89;Africa;Congo;3,12215E+15;Energy;Other from oil and gas;All;2022
90;Africa;Congo;2,64767E+15;Energy;Total;All;2022
91;Africa;Congo;1,1997E+15;Other;Total;All;2019-2021
92;Africa;Congo;3,00827E+15;Waste;Total;All;2019-2021
93;Africa;Cote d'Ivoire;1,85701E+15;Agriculture;Total;All;2019-2021
94;Africa;Cote d'Ivoire;5,3804E+15;Energy;Bioenergy;All;2022
95;Africa;Cote d'Ivoire;5,74371E+15;Energy;Gas pipelines and LNG facilities;Fugitive;2022
96;Africa;Cote d'Ivoire;3,06255E+15;Energy;Gas pipelines and LNG facilities;Vented;2022
97;Africa;Cote d'Ivoire;5,11602E+15;Energy;Offshore gas;Fugitive;2022
98;Africa;Cote d'Ivoire;1,11007E+16;Energy;Offshore gas;Vented;2022
99;Africa;Cote d'Ivoire;1,58408E+16;Energy;Offshore oil;Flared;2022
100;Africa;Cote d'Ivoire;8,03796E+15;Energy;Offshore oil;Fugitive;2022
101;Africa;Cote d'Ivoire;1,08899E+16;Energy;Offshore oil;Vented;2022
102;Africa;Cote d'Ivoire;1,2917E+16;Energy;Other from oil and gas;All;2022
103;Africa;Cote d'Ivoire;9,33965E+15;Energy;Total;All;2022
104;Africa;Cote d'Ivoire;2,87673E+16;Other;Total;All;2019-2021
105;Africa;Cote d'Ivoire;2,20236E+15;Waste;Total;All;2019-2021
106;Africa;Democratic Republic of Congo;5,55529E+15;Agriculture;Total;All;2019-2021
107;Africa;Democratic Republic of Congo;2,16172E+15;Energy;Bioenergy;All;2022
108;Africa;Democratic Republic of Congo;1,1981E+16;Energy;Offshore oil;Flared;2022
109;Africa;Democratic Republic of Congo;1,1648E+15;Energy;Offshore oil;Fugitive;2022
110;Africa;Democratic Republic of Congo;1,57808E+16;Energy;Offshore oil;Vented;2022
111;Africa;Democratic Republic of Congo;6,21571E+15;Energy;Onshore oil;Flared;2022
112;Africa;Democratic Republic of Congo;6,04292E+15;Energy;Onshore oil;Fugitive;2022
113;Africa;Democratic Republic of Congo;8,18701E+15;Energy;Onshore oil;Vented;2022
114;Africa;Democratic Republic of Congo;5,87294E+15;Energy;Other from oil and gas;All;2022
115;Africa;Democratic Republic of Congo;2,60693E+15;Energy;Total;All;2022
116;Africa;Democratic Republic of Congo;2,01835E+15;Other;Total;All;2019-2021
117;Africa;Democratic Republic of Congo;5,66831E+15;Waste;Total;All;2019-2021
118;Africa;Egypt;6,84532E+12;Agriculture;Total;All;2019-2021
119;Africa;Egypt;1,5496E+16;Energy;Bioenergy;All;2022
120;Africa;Egypt;1,27542E+16;Energy;Gas pipelines and LNG facilities;Fugitive;2022
121;Africa;Egypt;6,80055E+15;Energy;Gas pipelines and LNG facilities;Vented;2022
122;Africa;Egypt;7,46822E+15;Energy;Offshore gas;Fugitive;2022
123;Africa;Egypt;1,62045E+15;Energy;Offshore gas;Vented;2022
124;Africa;Egypt;3,02223E+16;Energy;Offshore oil;Flared;2022
125;Africa;Egypt;4,78234E+15;Energy;Offshore oil;Fugitive;2022
126;Africa;Egypt;6,47917E+15;Energy;Offshore oil;Vented;2022
127;Africa;Egypt;1,88781E+15;Energy;Onshore gas;Fugitive;2022
128;Africa;Egypt;4,09616E+15;Energy;Onshore gas;Vented;2022
129;Africa;Egypt;9,30738E+15;Energy;Onshore oil;Flared;2022
130;Africa;Egypt;1,64448E+16;Energy;Onshore oil;Fugitive;2022
131;Africa;Egypt;2,22796E+16;Energy;Onshore oil;Vented;2022
132;Africa;Egypt;4,96E+15;Energy;Other from coal;All;2022
133;Africa;Egypt;1,78251E+16;Energy;Other from oil and gas;All;2022
134;Africa;Egypt;9,58042E+15;Energy;Total;All;2022
135;Africa;Egypt;1,20031E+16;Other;Total;All;2019-2021
136;Africa;Egypt;9,47934E+13;Waste;Total;All;2019-2021
137;Africa;Equatorial Guinea;4,38739E+14;Agriculture;Total;All;2019-2021
138;Africa;Equatorial Guinea;1,88E+15;Energy;Bioenergy;All;2022
139;Africa;Equatorial Guinea;7,80095E+15;Energy;Gas pipelines and LNG facilities;Fugitive;2022
140;Africa;Equatorial Guinea;4,15947E+15;Energy;Gas pipelines and LNG facilities;Vented;2022
141;Africa;Equatorial Guinea;1,79849E+16;Energy;Offshore gas;Fugitive;2022
142;Africa;Equatorial Guinea;3,90235E+15;Energy;Offshore gas;Vented;2022
143;Africa;Equatorial Guinea;6,01809E+15;Energy;Offshore oil;Flared;2022
144;Africa;Equatorial Guinea;3,70716E+15;Energy;Offshore oil;Fugitive;2022
